"key","Genres","IMDbRating","IMDbVotes","MovieDirector","MoviePoster","MoviePosterSrc","MovieTitle","ReleasedYear","Runtime","Seeds","URL","UploadedTime","Uploader","YTSLikes"
"","Action / Adventure / Fantasy / Horror / Sci-Fi","6.9","497382","Sam Raimi","
            ","https://img.yts.mx/assets/images/movies/doctor_strange_in_the_multiverse_of_madness_2022/medium-cover.jpg","Doctor Strange in the Multiverse of Madness","2022","2hr6min","100+","https://yts.mx/movies/doctor-strange-in-the-multiverse-of-madness-2022","September 03, 2022 at 08:01 PM","FREEMAN","581"
"","Action / Adventure / Fantasy / Sci-Fi","6.3","397112","Chloé Zhao","
            ","https://img.yts.mx/assets/images/movies/eternals_2021/medium-cover.jpg","Eternals","2021","2hr35min","100+","https://yts.mx/movies/eternals-2021","September 03, 2022 at 10:14 PM","FREEMAN","477"
"","Action / Drama / Romance","5.8","1207","Jack Fisk","
            ","https://img.yts.mx/assets/images/movies/violets_are_blue_1986/medium-cover.jpg","Violets Are Blue...","1986","1hr25min","null","https://yts.mx/movies/violets-are-blue-1986","March 08, 2020 at 03:21 PM","FREEMAN","8"
"","Action / Crime / Drama / Fantasy / Mystery","8.6","1444780","Frank Darabont","
            ","https://img.yts.mx/assets/images/movies/The_Green_Mile_1999/medium-cover.jpg","The Green Mile","1999","3hr9min","null","https://yts.mx/movies/the-green-mile-1999","March 08, 2022 at 06:17 PM","OTTO","547"
"","Action / Adventure / Crime / Thriller","7.7","644454","Pierre Morel","
            ","https://img.yts.mx/assets/images/movies/Taken_2008/medium-cover.jpg","Taken","2008","1hr30min","100+","https://yts.mx/movies/taken-2008","August 22, 2023 at 09:30 PM","OTTO","293"
"","Action / Biography / Comedy / Drama / Music","7.0","56791","Jeff Tremaine","
            ","https://img.yts.mx/assets/images/movies/the_dirt_2019/medium-cover.jpg","The Dirt","2019","1hr47min","null","https://yts.mx/movies/the-dirt-2019","May 28, 2019 at 02:05 AM","FREEMAN","50"
"","Action / Crime / Drama / Mystery / Romance","6.9","1298","Don McCutcheon","
            ","https://img.yts.mx/assets/images/movies/crossword_mysteries_proposing_murder_2019/medium-cover.jpg","Crossword Mysteries: Proposing Murder","2019","1hr22min","null","https://yts.mx/movies/crossword-mysteries-proposing-murder-2019","March 13, 2021 at 04:16 PM","FREEMAN","7"
"","Action / Comedy / Romance","6.5","256910","Robert Luketic","
            ","https://img.yts.mx/assets/images/movies/Legally_Blonde_2001/medium-cover.jpg","Legally Blonde","2001","1hr36min","100+","https://yts.mx/movies/legally-blonde-2001","January 08, 2013 at 10:10 PM","OTTO","79"
"","Action / Comedy / Thriller","7.3","466959","David Leitch","
            ","https://img.yts.mx/assets/images/movies/bullet_train_2022/medium-cover.jpg","Bullet Train","2022","2hr6min","100+","https://yts.mx/movies/bullet-train-2022","October 07, 2022 at 07:41 PM","FREEMAN","323"
"","Action / Adventure / Drama / Sci-Fi","8.5","545584","Denis Villeneuve","
            ","https://img.yts.mx/assets/images/movies/dune_part_two_2024/medium-cover.jpg","Dune: Part Two","2024","2hr45min","100+","https://yts.mx/movies/dune-part-two-2024","May 07, 2024 at 02:41 AM","FREEMAN","385"
"","Action / Horror / Mystery / Thriller","6.8","354721","Jordan Peele","
            ","https://img.yts.mx/assets/images/movies/us_2019/medium-cover.jpg","Us","2019","1hr56min","100+","https://yts.mx/movies/us-2019","May 01, 2023 at 11:57 PM","FREEMAN","476"
"","Action / Crime / Drama / Thriller","6.4","47332","John Flynn","
            ","https://img.yts.mx/assets/images/movies/lock_up_1989/medium-cover.jpg","Lock Up","1989","1hr49min","null","https://yts.mx/movies/lock-up-1989","May 01, 2019 at 02:15 PM","FREEMAN","58"
"","Drama / War","8.2","9901","Ján Kadár","
            ","https://img.yts.mx/assets/images/movies/the_shop_on_main_street_1965/medium-cover.jpg","The Shop on Main Street","1965 ","2hr5min","null","https://yts.mx/movies/the-shop-on-main-street-1965","August 01, 2023 at 03:06 PM","FREEMAN","8"
"","Thriller","5.9","2428","Guillem Morales","
            ","https://img.yts.mx/assets/images/movies/the_wasp_2024/medium-cover.jpg","The Wasp","2024","1hr36min","100+","https://yts.mx/movies/the-wasp-2024","October 03, 2024 at 08:05 AM","FREEMAN","21"
"","Action / Adventure / Comedy / Drama / Family / Fantasy / Musical","6.7","33877","Francis Lawrence","
            ","https://img.yts.mx/assets/images/movies/slumberland_2022/medium-cover.jpg","Slumberland","2022","2hr0min","null","https://yts.mx/movies/slumberland-2022","November 23, 2022 at 07:46 AM","FREEMAN","86"
"","Fantasy / Horror / Thriller","5.6","2110","Ted Nicolaou","
            ","https://img.yts.mx/assets/images/movies/bloodlust_subspecies_iii_1994/medium-cover.jpg","Bloodlust: Subspecies III","1994","1hr21min","null","https://yts.mx/movies/bloodlust-subspecies-iii-1994","October 26, 2023 at 10:51 PM","FREEMAN","4"
"","Comedy / Horror","4.4","2188","Justin Harding","
            ","https://img.yts.mx/assets/images/movies/carved_2024/medium-cover.jpg","Carved","2024","1hr34min","100+","https://yts.mx/movies/carved-2024","October 24, 2024 at 01:05 AM","FREEMAN","9"
"","Action / Adventure / Comedy / Fantasy / Romance / Sci-Fi","6.2","417519","Taika Waititi","
            ","https://img.yts.mx/assets/images/movies/thor_love_and_thunder_2022/medium-cover.jpg","Thor: Love and Thunder","2022","1hr58min","100+","https://yts.mx/movies/thor-love-and-thunder-2022","September 14, 2022 at 03:29 PM","FREEMAN","388"
"","Action / Adventure / Sci-Fi / Thriller","5.9","272357","Andy Serkis","
            ","https://img.yts.mx/assets/images/movies/venom_let_there_be_carnage_2021/medium-cover.jpg","Venom: Let There Be Carnage","2021","1hr37min","100+","https://yts.mx/movies/venom-let-there-be-carnage-2021","December 03, 2021 at 09:02 AM","FREEMAN","509"
"","Comedy / Drama / Romance","6.2","5027","Stephen Daldry","
            ","https://img.yts.mx/assets/images/movies/together_2021/medium-cover.jpg","Together","2021","1hr32min","null","https://yts.mx/movies/together-2021","September 12, 2022 at 02:29 PM","FREEMAN","44"
